"gamble"	"g1p1"	"g1o1"	"g1p2"	"g1o2"	"g1p3"	"g1o3"	"g1p4"	"g1o4"	"g1p5"	"g1o5"	"g2p1"	"g2o1"	"g2p2"	"g2o2"	"g2p3"	"g2o3"	"g2p4"	"g2o4"	"g2p5"	"g2o5"	"type"
1	0.4	15	0.2	0	0.4	-15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	"WR"
2	0.4	10	0.2	0	0.4	-10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	"WR"
3	0.4	5	0.2	0	0.4	-5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	"WR"
4	0.2	15	0.6	0	0.2	-15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	"WR"
5	0.2	10	0.6	0	0.2	-10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	"WR"
6	0.2	5	0.6	0	0.2	-5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	"WR"
7	0.2	15	0.6	0	0.2	-15	0	0	0	0	0.2	10	0.6	0	0.2	-10	0	0	0	0	"SYM"
8	0.2	10	0.6	0	0.2	-10	0	0	0	0	0.2	5	0.6	0	0.2	-5	0	0	0	0	"SYM"
9	0.2	5	0.6	0	0.2	-5	0	0	0	0	0.2	2	0.6	0	0.2	-2	0	0	0	0	"SYM"
10	0.2	15	0.2	9	0.2	0	0.2	-9	0.2	-15	0.2	10	0.2	9	0.2	0	0.2	-9	0.2	-10	"SYM"
11	0.2	10	0.2	3	0.2	0	0.2	-3	0.2	-10	0.2	5	0.2	3	0.2	0	0.2	-3	0.2	-5	"SYM"
12	0.2	5	0.2	2	0.2	0	0.2	-2	0.2	-5	0.4	2	0.2	0	0.4	-2	0	0	0	0	"SYM"
13	0.2	15	0.2	8	0.2	5	0.2	0	0.2	-15	0.2	10	0.2	8	0.2	5	0.2	0	0.2	-10	"SYM"
14	0.2	10	0.2	4	0.2	2	0.2	0	0.2	-10	0.2	5	0.2	4	0.2	2	0.2	0	0.2	-5	"SYM"
15	0.2	5	0.2	2	0.2	1	0.2	0	0.2	-5	0.4	2	0.2	1	0.2	0	0.2	-2	0	0	"SYM"
16	0.2	15	0.2	0	0.2	-5	0.2	-8	0.2	-15	0.2	10	0.2	0	0.2	-5	0.2	-8	0.2	-10	"SYM"
17	0.2	10	0.2	0	0.2	-2	0.2	-4	0.2	-10	0.2	5	0.2	0	0.2	-2	0.2	-4	0.2	-5	"SYM"
18	0.2	5	0.2	0	0.2	-1	0.2	-2	0.2	-5	0.2	2	0.2	0	0.2	-1	0.4	-2	0	0	"SYM"
19	0.4	15	0.2	5	0.4	-15	0	0	0	0	0.2	15	0.2	10	0.2	5	0.2	-10	0.2	-15	"SYM"
20	0.4	10	0.2	3	0.4	-10	0	0	0	0	0.2	10	0.2	5	0.2	3	0.2	-5	0.2	-10	"SYM"
21	0.4	5	0.2	2	0.4	-5	0	0	0	0	0.2	5	0.4	2	0.2	-2	0.2	-5	0	0	"SYM"
22	0.4	15	0.2	0	0.4	-15	0	0	0	0	0.2	15	0.2	10	0.2	0	0.2	-10	0.2	-15	"SYM"
23	0.4	10	0.2	0	0.4	-10	0	0	0	0	0.2	15	0.2	10	0.2	0	0.2	-10	0.2	-15	"SYM"
24	0.4	5	0.2	0	0.4	-5	0	0	0	0	0.2	5	0.2	2	0.2	0	0.2	-2	0.2	-5	"SYM"
25	0.4	15	0.2	-5	0.4	-15	0	0	0	0	0.2	15	0.2	10	0.2	-5	0.2	-10	0.2	-15	"SYM"
26	0.4	10	0.2	-3	0.4	-10	0	0	0	0	0.2	10	0.2	5	0.2	-3	0.2	-5	0.2	-10	"SYM"
27	0.4	5	0.2	-2	0.4	-5	0	0	0	0	0.2	5	0.2	2	0.4	-2	0.2	-5	0	0	"SYM"
28	0.2	15	0.4	0	0.4	-15	0	0	0	0	0.2	10	0.4	0	0.2	-10	0.2	-15	0	0	"STR"
29	0.2	10	0.4	0	0.2	-10	0.2	-12	0	0	0.2	5	0.4	0	0.2	-5	0.2	-12	0	0	"STR"
