"gamble"	"g1p1"	"g1o1"	"g1p2"	"g1o2"	"g1p3"	"g1o3"	"g2p1"	"g2o1"	"g2p2"	"g2o2"	"g2p3"	"g2o3"
1	0.15	0	0	10	0.85	20	0	0	0.25	10	0.75	20
2	0.3	0	0	10	0.7	20	0.15	0	0.25	10	0.6	20
3	0.3	0	0	10	0.7	20	0	0	0.5	10	0.5	20
4	0.15	0	0.25	10	0.6	20	0	0	0.5	10	0.5	20
5	0.15	0	0.75	10	0.1	20	0	0	1	10	0	20
6	0.6	0	0	10	0.4	20	0	0	1	10	0	20
7	0.6	0	0	10	0.4	20	0.15	0	0.75	10	0.1	20
8	0.9	0	0	10	0.1	20	0.75	0	0.25	10	0	20
9	0.1	0	0	10	0.9	20	0	0	0.2	10	0.8	20
10	0.5	0	0	10	0.5	20	0.1	0	0.8	10	0.1	20
11	0.5	0	0	10	0.5	20	0	0	1	10	0	20
12	0.1	0	0.8	10	0.1	20	0	0	1	10	0	20
13	0.7	0	0	10	0.3	20	0.5	0	0.4	10	0.1	20
14	0.7	0	0	10	0.3	20	0.4	0	0.6	10	0	20
15	0.5	0	0.4	10	0.1	20	0.4	0	0.6	10	0	20
16	0.9	0	0	10	0.1	20	0.8	0	0.2	10	0	20
17	0.1	0	0	10	0.9	20	0	0	0.25	10	0.75	20
18	0.4	0	0	10	0.6	20	0.1	0	0.75	10	0.15	20
19	0.4	0	0	10	0.6	20	0	0	1	10	0	20
20	0.1	0	0.75	10	0.15	20	0	0	1	10	0	0
21	0.7	0	0	10	0.3	20	0.6	0	0.25	10	0.15	20
22	0.7	0	0	10	0.3	20	0.5	0	0.5	10	0	20
23	0.6	0	0.25	10	0.15	20	0.5	0	0.5	10	0	20
24	0.85	0	0	10	0.15	20	0.75	0	0.25	10	0	20
25	0.1	0	0	10	0.9	20	0	0	0.3	10	0.7	20
26	0.4	0	0	10	0.6	20	0.2	0	0.6	10	0.2	20
27	0.4	0	0	10	0.6	20	0.1	0	0.9	10	0	20
28	0.2	0	0.6	10	0.2	20	0.1	0	0.9	10	0	20
29	0.6	0	0	10	0.4	20	0.5	0	0.3	10	0.2	20
30	0.6	0	0	10	0.4	20	0.4	0	0.6	10	0	20
31	0.5	0	0.3	10	0.2	20	0.4	0	0.6	10	0	20
32	0.8	0	0	10	0.2	20	0.7	0	0.3	10	0	20
33	0.1	0	0	10	0.9	20	0	0	0.5	10	0.5	20
34	0.2	0	0	10	0.8	20	0.1	0	0.5	10	0.4	20
35	0.2	0	0	10	0.8	20	0	0	1	10	0	20
36	0.1	0	0.5	10	0.4	20	0	0	1	10	0	20
37	0.35	0	0.25	10	0.4	20	0.25	0	0.75	10	0	20
38	0.4	0	0	10	0.6	20	0.25	0	0.75	10	0	20
39	0.4	0	0	10	0.6	20	0.35	0	0.25	10	0.4	20
40	0.6	0	0	10	0.4	20	0.5	0	0.5	10	0	20
41	0	0	0.25	10	0.75	20	0	0	0.3	10	0.7	20
42	0.55	0	0.2	10	0.25	20	0.65	0	0.15	10	0.2	20
43	0.8	0	0	10	0.2	20	0.85	0	0	10	0.15	20
44	0.1	0	0.75	10	0.15	20	0.15	0	0.75	10	0.1	20
45	0.7	0	0.3	10	0	20	0.75	0	0.25	10	0	20
