gamble	g1p1	g1o1	g1p2	g1o2	g1p3	g1o3	g1p4	g1o4	g1p5	g1o5	g2p1	g2o1	g2p2	g2o2	g2p3	g2o3	g2p4	g2o4	g2p5	g2o5	type
1	0.85	100	0.1	50	0.05	50	0	0	0	0	0.85	100	0.1	100	0.05	8	0	0	0	0	ES
2	0.85	100	0.15	50	0	0	0	0	0	0	0.95	100	0.05	8	0	0	0	0	0	0	ES
3	0.1	98	0.9	2	0	0	0	0	0	0	0.2	40	0.8	2	0	0	0	0	0	0	ES
4	0.1	98	0.1	2	0.8	2	0	0	0	0	0.1	40	0.1	40	0.8	2	0	0	0	0	ES
5	0.1	98	0.8	40	0.1	2	0	0	0	0	0.1	40	0.8	40	0.1	40	0	0	0	0	ES
6	0.8	98	0.1	98	0.1	2	0	0	0	0	0.8	98	0.1	40	0.1	40	0	0	0	0	ES
7	0.9	98	0.1	2	0	0	0	0	0	0	0.8	98	0.2	40	0	0	0	0	0	0	ES
8	0.9	96	0.05	14	0.05	12	0	0	0	0	0.85	96	0.05	90	0.1	12	0	0	0	0	SD
9	0.85	96	0.05	96	0.05	14	0.05	12	0	0	0.85	96	0.05	90	0.05	12	0.05	12	0	0	SD
10	0.9	97	0.05	15	0.05	13	0	0	0	0	0.85	90	0.05	80	0.1	10	0	0	0	0	SD
11	0.9	96	0.05	14	0.05	12	0	0	0	0	0.25	96	0.05	90	0.7	12	0	0	0	0	SD
12	0.43	92	0.07	68	0.5	0	0	0	0	0	0.48	92	0.52	0	0	0	0	0	0	0	UTI
13	0.43	98	0.07	68	0.5	0	0	0	0	0	0.43	98	0.05	92	0.52	0	0	0	0	0	UTI
14	0.8	110	0.1	44	0.1	40	0	0	0	0	0.8	110	0.1	96	0.1	10	0	0	0	0	UTI
15	0.8	96	0.1	44	0.1	40	0	0	0	0	0.9	96	0.1	10	0	0	0	0	0	0	UTI
16	0.8	110	0.1	44	0.1	40	0	0	0	0	0.8	110	0.1	98	0.1	10	0	0	0	0	UCI
17	0.8	98	0.2	40	0	0	0	0	0	0	0.9	98	0.1	10	0	0	0	0	0	0	UCI
18	0.9	106	0.05	96	0.05	12	0	0	0	0	0.9	106	0.05	52	0.05	48	0	0	0	0	UCI
19	0.95	96	0.05	12	0	0	0	0	0	0	0.9	96	0.1	48	0	0	0	0	0	0	UCI
20	0.05	96	0.05	12	0.9	4	0	0	0	0	0.05	52	0.05	48	0.9	4	0	0	0	0	LCI
21	0.05	96	0.95	12	0	0	0	0	0	0	0.1	52	0.9	12	0	0	0	0	0	0	LCI
22	0.1	44	0.1	40	0.8	2	0	0	0	0	0.1	98	0.1	10	0.8	2	0	0	0	0	LCI
23	0.2	44	0.8	10	0	0	0	0	0	0	0.1	98	0.9	10	0	0	0	0	0	0	LCI
24	0.85	150	0.1	75	0.05	75	0	0	0	0	0.85	150	0.1	150	0.05	12	0	0	0	0	ES
25	0.85	150	0.15	75	0	0	0	0	0	0	0.95	150	0.05	12	0	0	0	0	0	0	ES
26	0.1	147	0.9	3	0	0	0	0	0	0	0.2	60	0.8	3	0	0	0	0	0	0	ES
27	0.1	147	0.1	3	0.8	3	0	0	0	0	0.1	60	0.1	60	0.8	3	0	0	0	0	ES
28	0.1	147	0.8	60	0.1	3	0	0	0	0	0.1	60	0.8	60	0.1	60	0	0	0	0	ES
29	0.8	147	0.1	147	0.1	3	0	0	0	0	0.8	147	0.1	60	0.1	60	0	0	0	0	ES
30	0.9	147	0.1	3	0	0	0	0	0	0	0.8	147	0.2	60	0	0	0	0	0	0	ES
31	0.9	144	0.05	21	0.05	18	0	0	0	0	0.85	144	0.05	135	0.1	18	0	0	0	0	SD
32	0.85	144	0.05	144	0.05	21	0.05	18	0	0	0.85	144	0.05	135	0.05	18	0.05	18	0	0	SD
33	0.9	145.5	0.05	22.5	0.05	19.5	0	0	0	0	0.85	135	0.05	120	0.1	15	0	0	0	0	SD
34	0.9	144	0.05	21	0.05	18	0	0	0	0	0.25	144	0.05	135	0.7	18	0	0	0	0	SD
35	0.43	138	0.07	102	0.5	0	0	0	0	0	0.48	138	0.52	0	0	0	0	0	0	0	UTI
36	0.43	147	0.07	102	0.5	0	0	0	0	0	0.43	147	0.05	138	0.52	0	0	0	0	0	UTI
37	0.8	165	0.1	66	0.1	60	0	0	0	0	0.8	165	0.1	144	0.1	15	0	0	0	0	UTI
38	0.8	144	0.1	66	0.1	60	0	0	0	0	0.9	144	0.1	15	0	0	0	0	0	0	UTI
39	0.8	165	0.1	66	0.1	60	0	0	0	0	0.8	165	0.1	147	0.1	15	0	0	0	0	UCI
40	0.8	147	0.2	60	0	0	0	0	0	0	0.9	147	0.1	15	0	0	0	0	0	0	UCI
41	0.9	159	0.05	144	0.05	18	0	0	0	0	0.9	159	0.05	78	0.05	72	0	0	0	0	UCI
42	0.95	144	0.05	18	0	0	0	0	0	0	0.9	144	0.1	72	0	0	0	0	0	0	UCI
43	0.05	144	0.05	18	0.9	6	0	0	0	0	0.05	78	0.05	72	0.9	6	0	0	0	0	LCI
44	0.05	144	0.95	18	0	0	0	0	0	0	0.1	78	0.9	18	0	0	0	0	0	0	LCI
45	0.1	66	0.1	60	0.8	3	0	0	0	0	0.1	147	0.1	15	0.8	3	0	0	0	0	LCI
46	0.2	66	0.8	15	0	0	0	0	0	0	0.1	147	0.9	15	0	0	0	0	0	0	LCI
47	0.25	100	0.25	0	0.5	0	0	0	0	0	0.25	50	0.25	50	0.5	0	0	0	0	0	GLS
48	0.5	0	0.25	-50	0.25	-50	0	0	0	0	0.5	0	0.25	0	0.25	-100	0	0	0	0	GLS
49	0.25	100	0.25	0	0.25	-50	0.25	-50	0	0	0.25	50	0.25	50	0.25	0	0.25	-100	0	0	GLS
50	0.25	100	0.25	0	0.5	-50	0	0	0	0	0.5	50	0.25	0	0.25	-100	0	0	0	0	GLS
51	0.80	60	0.10	-6	0.10	-10	0.0	0	0.0	0	0.80	60	0.10	48	0.10	-40	0.0	0	0.0	0	mUCI
52	0.80	48	0.20	-10	0.0	0	0.0	0	0.0	0	0.90	48	0.10	-40	0.0	0	0.0	0	0.0	0	mUCI
53	0.90	56	0.05	46	0.05	-38	0.0	0	0.0	0	0.90	56	0.05	2	0.05	-2	0.0	0	0.0	0	mUCI
54	0.95	46	0.05	-38	0.0	0	0.0	0	0.0	0	0.90	46	0.10	-2	0.0	0	0.0	0	0.0	0	mUCI
55	0.10	19	0.10	15	0.80	-23	0.0	0	0.0	0	0.10	73	0.10	-15	0.80	-23	0.0	0	0.0	0	mLCI
56	0.20	19	0.80	-15	0.0	0	0.0	0	0.0	0	0.10	73	0.90	-15	0.0	0	0.0	0	0.0	0	mLCI
57	0.05	71	0.05	-13	0.90	-22	0.0	0	0.0	0	0.05	27	0.05	23	0.90	-22	0.0	0	0.0	0	mLCI
58	0.05	71	0.95	-13	0.0	0	0.0	0	0.0	0	0.10	27	0.90	-13	0.0	0	0.0	0	0.0	0	mLCI
