gamble	g1p1	g1o1	g1p2	g1o2	g1p3	g1o3	g1p4	g1o4	g1p5	g1o5	g2p1	g2o1	g2p2	g2o2	g2p3	g2o3	g2p4	g2o4	g2p5	g2o5
1	1.000	3	0.0	0	0.0	0	0.0	0	0.0	0	0.800	4	0.200	0	0.0	0	0.0	0	0.0	0
2	1.000	-3	0.0	0	0.0	0	0.0	0	0.0	0	0.800	-4	0.200	0	0.0	0	0.0	0	0.0	0
3	0.250	3	0.750	0	0.0	0	0.0	0	0.0	0	0.200	4	0.800	0	0.0	0	0.0	0	0.0	0
4	0.200	-4	0.800	0	0.0	0	0.0	0	0.0	0	0.250	-3	0.750	0	0.0	0	0.0	0	0.0	0
5	1.000	3	0.000	0	0.0	0	0.0	0	0.0	0	0.100	32	0.900	0	0.0	0	0.0	0	0.0	0
6	0.100	-32	0.900	0	0.0	0	0.0	0	0.0	0	0.100	-3	0.900	0	0.0	0	0.0	0	0.0	0
7	0.250	3	0.750	0	0.0	0	0.0	0	0.0	0	0.025	32	0.975	0	0.0	0	0.0	0	0.0	0
8	0.025	-32	0.975	0	0.0	0	0.0	0	0.0	0	0.250	-3	0.750	0	0.0	0	0.0	0	0.0	0
9	0.750	0.5	0.250	0	0.0	0	0.0	0	0.0	0	0.150	6	0.850	0	0.0	0	0.0	0	0.0	0
10	0.150	-6	0.850	0	0.0	0	0.0	0	0.0	0	0.750	-0.5	0.250	0	0.0	0	0.0	0	0.0	0
11	0.700	0.9	0.300	0	0.0	0	0.0	0	0.0	0	0.150	13	0.850	0	0.0	0	0.0	0	0.0	0
12	0.150	-13	0.850	0	0.0	0	0.0	0	0.0	0	0.700	-0.9	0.300	0	0.0	0	0.0	0	0.0	0
13	0.100	770	0.900	20	0.0	0	0.0	0	0.0	0	0.100	400	0.900	320	0.0	0	0.0	0	0.0	0
14	0.200	770	0.800	20	0.0	0	0.0	0	0.0	0	0.200	400	0.800	320	0.0	0	0.0	0	0.0	0
15	0.300	770	0.700	20	0.0	0	0.0	0	0.0	0	0.300	400	0.700	320	0.0	0	0.0	0	0.0	0
16	0.400	770	0.600	20	0.0	0	0.0	0	0.0	0	0.400	400	0.600	320	0.0	0	0.0	0	0.0	0
17	0.500	770	0.500	20	0.0	0	0.0	0	0.0	0	0.500	400	0.500	320	0.0	0	0.0	0	0.0	0
18	0.600	770	0.400	20	0.0	0	0.0	0	0.0	0	0.600	400	0.400	320	0.0	0	0.0	0	0.0	0
19	0.700	770	0.300	20	0.0	0	0.0	0	0.0	0	0.700	400	0.300	320	0.0	0	0.0	0	0.0	0
20	0.800	770	0.200	20	0.0	0	0.0	0	0.0	0	0.800	400	0.200	320	0.0	0	0.0	0	0.0	0
21	0.900	770	0.100	20	0.0	0	0.0	0	0.0	0	0.900	400	0.100	320	0.0	0	0.0	0	0.0	0
22	1.000	770	0.000	0	0.0	0	0.0	0	0.0	0	1.000	400	0.0	0	0.0	0	0.0	0	0.0	0
23	0.100	-770	0.900	-20	0.0	0	0.0	0	0.0	0	0.100	-400	0.900	-320	0.0	0	0.0	0	0.0	0
24	0.200	-770	0.800	-20	0.0	0	0.0	0	0.0	0	0.200	-400	0.800	-320	0.0	0	0.0	0	0.0	0
25	0.300	-770	0.700	-20	0.0	0	0.0	0	0.0	0	0.300	-400	0.700	-320	0.0	0	0.0	0	0.0	0
26	0.400	-770	0.600	-20	0.0	0	0.0	0	0.0	0	0.400	-400	0.600	-320	0.0	0	0.0	0	0.0	0
27	0.500	-770	0.500	-20	0.0	0	0.0	0	0.0	0	0.500	-400	0.500	-320	0.0	0	0.0	0	0.0	0
28	0.600	-770	0.400	-20	0.0	0	0.0	0	0.0	0	0.600	-400	0.400	-320	0.0	0	0.0	0	0.0	0
29	0.700	-770	0.300	-20	0.0	0	0.0	0	0.0	0	0.700	-400	0.300	-320	0.0	0	0.0	0	0.0	0
30	0.800	-770	0.200	-20	0.0	0	0.0	0	0.0	0	0.800	-400	0.200	-320	0.0	0	0.0	0	0.0	0
31	0.900	-770	0.100	-20	0.0	0	0.0	0	0.0	0	0.900	-400	0.100	-320	0.0	0	0.0	0	0.0	0
32	1.000	-770	0.0	0	0.0	0	0.0	0	0.0	0	1.000	-400	0.0	0	0.0	0	0.0	0	0.0	0
33	1.000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.500	-100	0.500	50	0.0	0	0.0	0	0.0	0
34	1.000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.500	-100	0.500	100	0.0	0	0.0	0	0.0	0
35	1.000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.500	-100	0.500	150	0.0	0	0.0	0	0.0	0
36	1.000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.500	-100	0.500	200	0.0	0	0.0	0	0.0	0
37	1.000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.500	-100	0.500	220	0.0	0	0.0	0	0.0	0
38	1.000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.500	-100	0.500	240	0.0	0	0.0	0	0.0	0
39	1.000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.500	-100	0.500	300	0.0	0	0.0	0	0.0	0
40	1.000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.500	-100	0.500	400	0.0	0	0.0	0	0.0	0
41	0.420	470	0.580	640	0.0	0	0.0	0	0.0	0	0.340	240	0.660	590	0.0	0	0.0	0	0.0	0
42	0.200	570	0.800	940	0.0	0	0.0	0	0.0	0	0.880	790	0.120	820	0.0	0	0.0	0	0.0	0
43	0.440	230	0.560	310	0.0	0	0.0	0	0.0	0	0.740	620	0.260	0	0.0	0	0.0	0	0.0	0
44	0.950	680	0.050	950	0.0	0	0.0	0	0.0	0	0.050	560	0.950	720	0.0	0	0.0	0	0.0	0
45	0.430	70	0.570	970	0.0	0	0.0	0	0.0	0	0.250	840	0.750	430	0.0	0	0.0	0	0.0	0
46	0.710	550	0.290	630	0.0	0	0.0	0	0.0	0	0.280	70	0.720	740	0.0	0	0.0	0	0.0	0
47	0.760	130	0.240	900	0.0	0	0.0	0	0.0	0	0.090	560	0.910	190	0.0	0	0.0	0	0.0	0
48	0.980	560	0.020	80	0.0	0	0.0	0	0.0	0	0.630	410	0.370	180	0.0	0	0.0	0	0.0	0
49	0.390	670	0.610	630	0.0	0	0.0	0	0.0	0	0.880	720	0.120	290	0.0	0	0.0	0	0.0	0
50	0.600	60	0.400	450	0.0	0	0.0	0	0.0	0	0.610	370	0.390	500	0.0	0	0.0	0	0.0	0
51	0.150	440	0.850	290	0.0	0	0.0	0	0.0	0	0.080	540	0.920	310	0.0	0	0.0	0	0.0	0
52	0.630	430	0.370	530	0.0	0	0.0	0	0.0	0	0.920	630	0.080	50	0.0	0	0.0	0	0.0	0
53	0.320	390	0.680	560	0.0	0	0.0	0	0.0	0	0.780	320	0.220	990	0.0	0	0.0	0	0.0	0
54	0.790	150	0.210	290	0.0	0	0.0	0	0.0	0	0.160	660	0.840	230	0.0	0	0.0	0	0.0	0
55	0.980	920	0.020	190	0.0	0	0.0	0	0.0	0	0.120	520	0.880	730	0.0	0	0.0	0	0.0	0
56	0.290	530	0.710	910	0.0	0	0.0	0	0.0	0	0.290	880	0.710	780	0.0	0	0.0	0	0.0	0
57	0.840	160	0.160	910	0.0	0	0.0	0	0.0	0	0.310	390	0.690	510	0.0	0	0.0	0	0.0	0
58	0.350	1000	0.650	500	0.0	0	0.0	0	0.0	0	0.170	700	0.830	650	0.0	0	0.0	0	0.0	0
59	0.640	370	0.360	650	0.0	0	0.0	0	0.0	0	0.910	800	0.090	190	0.0	0	0.0	0	0.0	0
60	0.480	770	0.520	60	0.0	0	0.0	0	0.0	0	0.090	830	0.910	670	0.0	0	0.0	0	0.0	0
61	0.210	90	0.790	310	0.0	0	0.0	0	0.0	0	0.440	140	0.560	720	0.0	0	0.0	0	0.0	0
62	0.850	1000	0.150	20	0.0	0	0.0	0	0.0	0	0.680	410	0.320	650	0.0	0	0.0	0	0.0	0
63	0.720	-560	0.280	-830	0.0	0	0.0	0	0.0	0	0.160	-150	0.840	-670	0.0	0	0.0	0	0.0	0
64	0.700	-320	0.300	-370	0.0	0	0.0	0	0.0	0	0.130	-190	0.870	-560	0.0	0	0.0	0	0.0	0
65	0.050	-460	0.950	-440	0.0	0	0.0	0	0.0	0	0.290	-670	0.710	-280	0.0	0	0.0	0	0.0	0
66	0.170	-460	0.830	-640	0.0	0	0.0	0	0.0	0	0.820	-400	0.180	-900	0.0	0	0.0	0	0.0	0
67	0.760	-380	0.240	-990	0.0	0	0.0	0	0.0	0	0.290	-250	0.710	-860	0.0	0	0.0	0	0.0	0
68	0.420	-990	0.580	-370	0.0	0	0.0	0	0.0	0	0.600	-460	0.400	-210	0.0	0	0.0	0	0.0	0
69	0.280	-480	0.720	-740	0.0	0	0.0	0	0.0	0	0.480	-150	0.520	-910	0.0	0	0.0	0	0.0	0
70	0.800	-520	0.200	-930	0.0	0	0.0	0	0.0	0	0.530	-930	0.470	-260	0.0	0	0.0	0	0.0	0
71	0.770	-330	0.230	-300	0.0	0	0.0	0	0.0	0	0.490	-10	0.510	-540	0.0	0	0.0	0	0.0	0
72	0.440	-150	0.560	-620	0.0	0	0.0	0	0.0	0	0.990	-240	0.010	-130	0.0	0	0.0	0	0.0	0
73	0.460	0	0.540	-970	0.0	0	0.0	0	0.0	0	0.790	-670	0.210	-370	0.0	0	0.0	0	0.0	0
74	0.860	-580	0.140	-970	0.0	0	0.0	0	0.0	0	0.560	-580	0.440	-800	0.0	0	0.0	0	0.0	0
75	0.170	-120	0.830	-690	0.0	0	0.0	0	0.0	0	0.630	-960	0.370	-380	0.0	0	0.0	0	0.0	0
76	0.470	-300	0.530	-610	0.0	0	0.0	0	0.0	0	0.590	-550	0.410	-770	0.0	0	0.0	0	0.0	0
77	0.550	-1000	0.450	-280	0.0	0	0.0	0	0.0	0	0.130	-290	0.870	-760	0.0	0	0.0	0	0.0	0
78	0.250	-630	0.750	-300	0.0	0	0.0	0	0.0	0	0.840	-570	0.160	-900	0.0	0	0.0	0	0.0	0
79	0.260	-170	0.740	-430	0.0	0	0.0	0	0.0	0	0.860	-290	0.140	-300	0.0	0	0.0	0	0.0	0
80	0.930	-420	0.070	-300	0.0	0	0.0	0	0.0	0	0.660	-80	0.340	-950	0.0	0	0.0	0	0.0	0
81	0.760	-570	0.240	-280	0.0	0	0.0	0	0.0	0	0.390	-350	0.610	-720	0.0	0	0.0	0	0.0	0
82	0.770	-480	0.230	-340	0.0	0	0.0	0	0.0	0	0.510	-260	0.490	-760	0.0	0	0.0	0	0.0	0
83	0.170	-420	0.830	-700	0.0	0	0.0	0	0.0	0	0.730	-730	0.270	-540	0.0	0	0.0	0	0.0	0
84	0.780	-970	0.220	-340	0.0	0	0.0	0	0.0	0	0.490	-660	0.510	-920	0.0	0	0.0	0	0.0	0
85	0.270	-830	0.730	240	0.0	0	0.0	0	0.0	0	0.430	-910	0.570	630	0.0	0	0.0	0	0.0	0
86	0.910	380	0.090	-730	0.0	0	0.0	0	0.0	0	0.060	-820	0.940	540	0.0	0	0.0	0	0.0	0
87	0.650	-850	0.350	930	0.0	0	0.0	0	0.0	0	0.790	-700	0.210	980	0.0	0	0.0	0	0.0	0
88	0.870	230	0.130	-390	0.0	0	0.0	0	0.0	0	0.370	-80	0.630	520	0.0	0	0.0	0	0.0	0
89	0.500	710	0.500	-260	0.0	0	0.0	0	0.0	0	0.610	960	0.390	-670	0.0	0	0.0	0	0.0	0
90	0.020	-690	0.980	140	0.0	0	0.0	0	0.0	0	0.430	-470	0.570	630	0.0	0	0.0	0	0.0	0
91	0.300	80	0.700	-370	0.0	0	0.0	0	0.0	0	0.390	-700	0.610	190	0.0	0	0.0	0	0.0	0
92	0.470	-730	0.530	150	0.0	0	0.0	0	0.0	0	0.590	-1000	0.410	810	0.0	0	0.0	0	0.0	0
93	0.110	160	0.890	-480	0.0	0	0.0	0	0.0	0	0.920	-730	0.080	960	0.0	0	0.0	0	0.0	0
94	0.360	260	0.640	-480	0.0	0	0.0	0	0.0	0	0.890	-310	0.110	270	0.0	0	0.0	0	0.0	0
95	0.800	80	0.200	-880	0.0	0	0.0	0	0.0	0	0.860	-390	0.140	830	0.0	0	0.0	0	0.0	0
96	0.670	750	0.330	-70	0.0	0	0.0	0	0.0	0	0.740	770	0.260	-230	0.0	0	0.0	0	0.0	0
97	0.270	90	0.730	-670	0.0	0	0.0	0	0.0	0	0.910	-330	0.090	280	0.0	0	0.0	0	0.0	0
98	0.870	960	0.130	-890	0.0	0	0.0	0	0.0	0	0.930	750	0.070	-900	0.0	0	0.0	0	0.0	0
99	0.680	740	0.320	-20	0.0	0	0.0	0	0.0	0	0.990	670	0.010	-30	0.0	0	0.0	0	0.0	0
100	0.400	-400	0.600	960	0.0	0	0.0	0	0.0	0	0.480	580	0.520	-50	0.0	0	0.0	0	0.0	0
101	0.480	-130	0.520	990	0.0	0	0.0	0	0.0	0	0.070	-550	0.930	950	0.0	0	0.0	0	0.0	0
102	0.680	-890	0.320	460	0.0	0	0.0	0	0.0	0	0.970	-510	0.030	300	0.0	0	0.0	0	0.0	0
103	0.600	-390	0.400	310	0.0	0	0.0	0	0.0	0	0.860	-260	0.140	820	0.0	0	0.0	0	0.0	0
104	0.800	-860	0.200	140	0.0	0	0.0	0	0.0	0	0.880	-900	0.120	880	0.0	0	0.0	0	0.0	0
105	0.880	-690	0.120	830	0.0	0	0.0	0	0.0	0	0.870	-780	0.130	450	0.0	0	0.0	0	0.0	0
106	0.490	-600	0.510	840	0.0	0	0.0	0	0.0	0	0.960	170	0.040	-480	0.0	0	0.0	0	0.0	0
107	1.000	0	0.000	0	0.0	0	0.0	0	0.0	0	0.500	100	0.500	-100	0.0	0	0.0	0	0.0	0
108	1.000	100	0.000	0	0.0	0	0.0	0	0.0	0	0.500	200	0.500	0	0.0	0	0.0	0	0.0	0
109	1.000	0	0.000	0	0.0	0	0.0	0	0.0	0	0.500	200	0.500	-200	0.0	0	0.0	0	0.0	0
110	1.000	200	0.000	0	0.0	0	0.0	0	0.0	0	0.500	400	0.500	0	0.0	0	0.0	0	0.0	0
111	1.000	40	0.000	0	0.0	0	0.0	0	0.0	0	0.500	140	0.500	-60	0.0	0	0.0	0	0.0	0
112	1.000	140	0.000	0	0.0	0	0.0	0	0.0	0	0.500	240	0.500	40	0.0	0	0.0	0	0.0	0
113	0.500	20	0.500	-20	0.0	0	0.0	0	0.0	0	0.500	100	0.500	-100	0.0	0	0.0	0	0.0	0
114	0.500	120	0.500	80	0.0	0	0.0	0	0.0	0	0.500	200	0.500	0	0.0	0	0.0	0	0.0	0
